FeatureType,date,ShipsInvolved,deaths,missings,severeInjuries,description,latitude,longitude,subtype_field,subtype_value,gml_pos
HullAndEngineAccessoryDamage,20200610,ALULA (IMO 9525883),0.0,,1.0,Fitter injured due to lathe machine accident.,35.85,120.9667,hullAndEngineAccessoryDamageType,machineries and propulsion damage,120.9667 35.8500
FireAndExplosion,20200607,WALTZ (IMO 9402665),,,,Fire caused by refrigerant gas leak in the engine room.,22.1,-96.2833,fireAndExplosionType,fire,-96.2833 22.1000
OtherIncident,20200605,NODUS (IMO 9497464),,,,Shore technician electrocuted during boiler repair.,37.8694,23.5111,otherIncidentType,safety hindrance and near misses,23.5111 37.8694
StrandingAndGrounding,20200605,KARLSO (IMO 8705890),0.0,,0.0,Fishing vessel KARLS ran aground due to navigation monitoring deficiencies and crew fatigue.,57.7031,11.6103,strandingAndGroundingType,grounding,11.6103 57.7031
FloodingAndSinking,20200604,BEHBAHAN (IMO 7648966),3.0,,,Ship sank near buoy no. 5 off Khawr Abd Allah channel.,29.7167,48.6167,floodingAndSinkingType,sinking,48.6167 29.7167
FloodingAndSinking,20200603,RS200 SUSANNE N (-),0.0,,0.0,"Ship capsized while hauling fishing gear, crew rescued by helicopter.",56.5225,7.9858,floodingAndSinkingType,capsizing,7.9858 56.5225
FloodingAndSinking,20200531,Globetrotter (-),,,,Foundering and loss of leisure fishing vessel with one fatality,53.9333,-3.0667,floodingAndSinkingType,sinking,-3.0667 53.9333
OtherIncident,20200530,CAPE KEYSTONE (IMO 9463334),,,,The Chief Officer of M/V Cape Keystone was reported missing during a voyage.,-8.4722,115.8694,otherIncidentType,safety hindrance and near misses,115.8694 -8.4722
FireAndExplosion,20200529,Anxhelo (-),,,,"Fishing boat ""Anxhelo"" caught fire in the engine room, leading to its sinking.",41.35,19.3,fireAndExplosionType,fire,19.3000 41.3500
FloodingAndSinking,20200528,CASTILLO DE VALVERDE (IMO 9300374),,,,Bosun washed overboard during deteriorating weather conditions.,-34.6331,25.7139,floodingAndSinkingType,sinking,25.7139 -34.6331
FloodingAndSinking,20200525,Norma G (-),,,,"Capsize of a leisure cabin cruiser in the Camel Estuary, Cornwall resulting in one fatality.",50.55,-4.9333,floodingAndSinkingType,capsizing,-4.9333 50.5500
HullAndEngineAccessoryDamage,20200524,APL England (IMO 9218650),,,,APL England experienced heavy rolls leading to loss of containers and main engine shutdown.,-34.3769,151.9214,hullAndEngineAccessoryDamageType,hull damage,151.9214 -34.3769
HullAndEngineAccessoryDamage,20200517,RIMINI (IMO 9421635),0.0,,0.0,The vessel collided with a lock gate due to malfunctioning propeller system.,53.8986,9.1575,hullAndEngineAccessoryDamageType,machineries and propulsion damage,9.1575 53.8986
HullAndEngineAccessoryDamage,20200514,DEARBHLA (IMO 9008457),0.0,,0.0,Fishing vessel Dearbhla struck rocks causing heavy contact damage to the vessel's bows.,52.0833,-10.5442,hullAndEngineAccessoryDamageType,hull damage,-10.5442 52.0833
OtherIncident,20200514,APL CALIFORNIA (IMO 9350044),0.0,,1.0,Bosun injured during tug line operation,29.95,121.8858,otherIncidentType,safety hindrance and near misses,121.8858 29.9500
FireAndExplosion,20200514,Med Tuncer (IMO 9830599),0.0,,0.0,Fire broke out inside the lifeboat during battery tests but was swiftly extinguished with interior damage only.,51.3256,4.3214,fireAndExplosionType,fire,4.3214 51.3256
OtherIncident,20200512,Seafarer (IMO 9686314),1.0,,0.0,Fatal accident involving fall from height during enclosed space access,37.4997,12.3667,otherIncidentType,safety hindrance and near misses,12.3667 37.4997
OtherIncident,20200508,MOUNT EVEREST (IMO 9470985),0.0,,1.0,Mooring line failure resulted in serious facial injuries to the third officer during a mooring operation.,35.8358,14.5503,otherIncidentType,safety hindrance and near misses,14.5503 35.8358
FloodingAndSinking,20200507,LE MARIE LOUIS (-),0.0,,0.0,Fishing vessel experienced massive flooding leading to sinking during fishing operation.,46.6942,-3.3667,floodingAndSinkingType,flooding,-3.3667 46.6942
CollisionAndContact,20200501,FT STURLA (IMO 9447287),0.0,,1.0,Two crew members struck by a mooring rope during mooring operations.,51.3358,3.8175,collisionAndContactType,contact,3.8175 51.3358
StrandingAndGrounding,20200423,LA MANCHE (IMO 8226739),,,,The vessel ran aground.,-62.2,-58.95,strandingAndGroundingType,grounding,-58.9500 -62.2000
OtherIncident,20200421,AR VEL DRO (-),0.0,,0.0,"Sailor dragged into sea by hook line, declared dead upon arrival at port.",48.8,-2.4389,otherIncidentType,safety hindrance and near misses,-2.4389 48.8000
floodingAndSinking,20200415,WAN DA (IMO 8904927),,,,The ship capsized in the South China Sea with subsequent drifting into Indonesian waters.,1.3672,104.3436,,capsizing,104.3436 1.3672
OtherIncident,20200413,ELANDRA BALTIC (IMO 9482562),,,,ASD fell overboard during ladder rigging operation.,43.2914,5.0056,otherIncidentType,safety hindrance and near misses,5.0056 43.2914
OtherIncident,20200413,SPINOLA (IMO 9495258),0.0,,1.0,Crew member injured during rescue boat maintenance task.,35.8853,14.5072,otherIncidentType,safety hindrance and near misses,14.5072 35.8853
HullAndEngineAccessoryDamage,20200409,SHEARWATER (IMO 6822216),,,,"Loss of propulsion, hull damage, and flooding during towing operation.",58.4667,-5.15,hullAndEngineAccessoryDamageType,hull damage,-5.1500 58.4667
CollisionAndContact,20200406,"MILANO BRIDGE (IMO 9757187), SEASPAN GANGES (IMO 9630365)",,,,Vessel collided with gantry cranes causing total loss.,35.0667,128.8,collisionAndContactType,collision,128.8000 35.0667
OtherIncident,20200403,TAIMAREHO 1 (IMO 8875889),,,,Vessel departed with excess passengers leading to casualties during bad weather conditions.,-9.3914,160.7219,otherIncidentType,safety hindrance and near misses,160.7219 -9.3914
OtherIncident,20200402,FAIRPLAY-33 (IMO 9476006),,,,Fatal man overboard incident during preparation to cast off from a barge.,59.0236,5.6172,otherIncidentType,safety hindrance and near misses,5.6172 59.0236
OtherIncident,20200331,NORDIC HARBIN (IMO 9585338),,,,A harbor worker lost his life due to lack of oxygen in the cargo hold.,38.75,26.9167,otherIncidentType,safety hindrance and near misses,26.9167 38.7500
CollisionAndContact,20200330,"GUARDACOSTAS ARMADA BOLIVARIANA NAIGUATA (GC-23) (-), RCGS RESOLUTE (IMO 9000168)",,,,"A collision between the Guardacostas ship ""NAIGUATA"" and the passenger ship ""RCGS RESOLUTE"" led to severe damage and sinking.",11.1167,-65.5667,collisionAndContactType,collision,-65.5667 11.1167
OtherIncident,20200330,ANE METTE PRIESS (-),1.0,,0.0,"A sea farm worker was killed by a falling net drum due to a missing pin, leading to safety hindrance.",54.9833,11.275,otherIncidentType,safety hindrance and near misses,11.2750 54.9833
StrandingAndGrounding,20200328,KEY BORA (IMO 9316024),,,,"Grounding and flooding of a Gibraltar registered tanker in Kyleakin, Scotland.",57.28,-5.755,strandingAndGroundingType,grounding,-5.7550 57.2800
FloodingAndSinking,20200325,LADY SANDRA (IMO 8335449),,,,"Ship broke into two while anchored, crew rescued with no injuries.",35.9167,14.7833,floodingAndSinkingType,sinking,14.7833 35.9167
StrandingAndGrounding,20200323,KAAMI (IMO 9063885),,,,"Grounding of Bahamas registered cargo vessel in Little Minch, Scotland.",57.7925,-6.4714,strandingAndGroundingType,grounding,-6.4714 57.7925
FloodingAndSinking,20200320,SURYA EXPRESS (IMO 7607728),,,,The ship developed list and subsequently sank in the Pacific Ocean.,-0.6667,133.3167,floodingAndSinkingType,sinking,133.3167 -0.6667
OtherIncident,20200317,DELICATA (IMO 9613317),,,,"Bosun fell overboard while adjusting pilot ladder, resulting in fatality.",-35.3667,-55.8667,otherIncidentType,safety hindrance and near misses,-55.8667 -35.3667
FireAndExplosion,20200316,GULF PETROLEUM 4 (IMO 9439345),,,,"Fire outbreak in Auxiliary Engine 2 led to severe burns of the 3rd Engineer, causing vessel disablement and drifting.",42.0194,35.1528,fireAndExplosionType,fire,35.1528 42.0194
StrandingAndGrounding,20200316,DORDUNCU (IMO 6905587),,,,"Ship stranded and partially sank near Jetty at Kea, Greece with migrants onboard.",37.6611,24.3125,strandingAndGroundingType,stranding,24.3125 37.6611
OtherIncident,20200315,SINGAPORE SPIRIT (IMO 9246308),,,,"ASD entered enclosed space without following procedures, resulting in fatality.",-12.1917,-35.6556,otherIncidentType,safety hindrance and near misses,-35.6556 -12.1917
OtherIncident,20200315,MSC ALICANTE (IMO 9480174),,,,Fatal injury to stevedore during container loading operation.,22.3972,-97.9333,otherIncidentType,safety hindrance and near misses,-97.9333 22.3972
OtherIncident,20200302,IONIAN EXPRESS (IMO 9332717),,,,Chief Officer electrocuted in ballast tank,6.99,79.6386,otherIncidentType,safety hindrance and near misses,79.6386 6.9900
HullAndEngineAccessoryDamage,20200229,DHT HAWK (IMO 9310159),,,,Fatal accident involving collapse of maintenance platform on board oil tanker.,22.2247,61.6389,hullAndEngineAccessoryDamageType,other facility damage,61.6389 22.2247
CollisionAndContact,20200229,"ACCOLADE II (IMO 8012425), SANDGROPER (-)",,,,Collision between FV Sand Groper and Accolade with no injuries or pollution and only minor damage reported.,-34.8,138.4333,collisionAndContactType,collision,138.4333 -34.8000
HullAndEngineAccessoryDamage,20200229,BALTIC PATRIOT (IMO 9038488),,,,Crane collapse during cargo loading operation.,-3.275,-80.0028,hullAndEngineAccessoryDamageType,outfit damage,-80.0028 -3.2750
CollisionAndContact,20200227,"CLAVIGO (IMO 9014688), DEDE (IMO 7827354), MV CLAVIGO (IMO 9014688)",,,,"Ship collided while moored, stranded on seawall, and partially sank in heavy weather.",40.835,29.2656,collisionAndContactType,collision,29.2656 40.8350
FloodingAndSinking,20200224,STELLAR BANNER (IMO 9726803),,,,Ship grounded and declared total constructive loss due to flooding.,-1.7472,-43.7528,floodingAndSinkingType,sinking,-43.7528 -1.7472
FireAndExplosion,20200223,CROATIA (IMO 9723277),0.0,,0.0,An explosion in the cargo hold damaged containers and ship fittings.,3.6528,105.6358,fireAndExplosionType,fire,105.6358 3.6528
NavigationalIssues,20200220,NICKIE B (IMO 9431343),,,,Crew member fell overboard during maintenance work.,-3.1389,152.8778,navigationalIssuesType,drifting,152.8778 -3.1389
OtherIncident,20200218,Beinn na Caillich (-),,,,Fatal accident during crew disembarkation at fish farm.,57.25,-5.6,otherIncidentType,safety hindrance and near misses,-5.6000 57.2500
OtherIncident,20200217,SICHEM MANILA (IMO 9322097),0.0,,1.0,Crew member injured during cargo tank cleaning operation due to valve block failure.,41.0833,1.2525,otherIncidentType,safety hindrance and near misses,1.2525 41.0833
StrandingAndGrounding,20200216,ALTA (IMO 7432305),0.0,,0.0,"Motor Vessel MV Alta grounded in Ballycotton, Ireland after being adrift in the Atlantic Ocean.",51.8269,-8.0569,strandingAndGroundingType,grounding,-8.0569 51.8269
OtherIncident,20200213,FRI DOLPHIN (IMO 9073880),1.0,,3.0,Crew members overcome by hydrogen phosphide gas during fumigation of cargo.,47.9667,-5.8833,otherIncidentType,safety hindrance and near misses,-5.8833 47.9667
OtherIncident,20200213,MAGIC SEAS (IMO 9736169),,,,Fatality of stevedore due to fallen steel coil during cargo discharge operation.,31.8306,34.6556,otherIncidentType,safety hindrance and near misses,34.6556 31.8306
OtherIncident,20200213,MAGIC SEAS (IMO 9736169),,,,Stevedore injured during unloading operation,31.8333,34.6378,otherIncidentType,safety hindrance and near misses,34.6378 31.8333
OtherIncident,20200209,TUCAN DOUS (-),1.0,,0.0,Crew member operational accident during fishing gear deployment near Slvora and Ons islands.,42.4275,-8.9667,otherIncidentType,safety hindrance and near misses,-8.9667 42.4275
FireAndExplosion,20200206,ALGECIRAS JET (IMO 9198551),0.0,,0.0,"The ship ALGECIRAS JET suffered a fire in the engine room due to a fuel leak, affecting one engine.",36.11,-5.3986,fireAndExplosionType,fire,-5.3986 36.1100
StrandingAndGrounding,20200206,RINELLA M (IMO 9351529),0.0,,0.0,The m/v Rinella M stranded after breaking away from the terminal due to strong wind gusts.,43.5361,16.4553,strandingAndGroundingType,grounding,16.4553 43.5361
OtherIncident,20200205,NAVIOS AMITIE (IMO 9328572),1.0,,0.0,Bosun fell overboard while rigging pilot ladder without safety harness or lifejacket.,40.0086,26.0925,otherIncidentType,safety hindrance and near misses,26.0925 40.0086
OtherIncident,20200204,TITANIA (IMO 9505053),0.0,,1.0,Fitter injured by rod slipping from lathe during fabrication work.,35.7358,-75.1806,otherIncidentType,safety hindrance and near misses,-75.1806 35.7358
FloodingAndSinking,20200203,GRAHA ANGKASA I (IMO 9124823),,,,The ship sank in the Celebes Sea due to water ingress in the engine room.,8.2106,-8.8728,floodingAndSinkingType,sinking,-8.8728 8.2106
OtherIncident,20200203,VALTAMED (IMO 9292840),1.0,,0.0,Crew member fatality during pre-arrival tests of bilge alarms.,36.35,35.1683,otherIncidentType,safety hindrance and near misses,35.1683 36.3500
HullAndEngineAccessoryDamage,20200131,JUMBO VISION (IMO 9153642),0.0,,2.0,Crane accident during loading operation resulted in damage to the vessel's fittings and railing.,54.1606,12.1203,hullAndEngineAccessoryDamageType,outfit damage,12.1203 54.1606
OtherIncident,20200130,HELEN MARY (IMO 9126364),1.0,,0.0,Fatal accident involving crew member falling overboard during fishing operations.,59.2047,-6.5806,otherIncidentType,safety hindrance and near misses,-6.5806 59.2047
OtherIncident,20200127,PIONEERING SPIRIT (IMO 9593505),0.0,,1.0,A welder helper fell through a large opening in the deck while trying to reach the work site.,58.1053,8.0081,otherIncidentType,safety hindrance and near misses,8.0081 58.1053
FloodingAndSinking,20200124,JORDJY II (-),0.0,,0.0,The ship sank during a fishing action.,47.6861,-3.7,floodingAndSinkingType,sinking,-3.7000 47.6861
FireAndExplosion,20200123,CAP. TINO B. (IMO 7025267),,,,Explosion in sonar compartment caused injuries and damage to nearby areas.,-2.2167,-87.6167,fireAndExplosionType,explosion,-87.6167 -2.2167
FloodingAndSinking,20200123,REEM 5 (IMO 8300767),,,,Ship sank after taking water in engine room and developing list to port in Arabian Sea.,22.2733,64.9667,floodingAndSinkingType,sinking,64.9667 22.2733
FireAndExplosion,20200121,ENIGMA ASTRALIS (IMO 9217149),,,,"Ship caught fire in crew accommodation area, crew rescued, ship sustained serious damage, later presumed sunk.",57.5,152.4194,fireAndExplosionType,fire,152.4194 57.5000
OtherIncident,20200121,VOLCAN DEL TEIDE (IMO 9506289),0.0,,0.0,Fall of a lifeboat during mooring in Port of Arrecife de Lanzarote with no personal injuries.,28.9706,-13.5375,otherIncidentType,safety hindrance and near misses,-13.5375 28.9706
OtherIncident,20200121,Manisa Star (IMO 9210270),1.0,,0.0,Crew member washed away from the pier into the sea during mooring operations.,41.8472,3.1278,otherIncidentType,safety hindrance and near misses,3.1278 41.8472
FloodingAndSinking,20200120,MEHRAN 77 (IMO 8741612),,,,The ship sank while moored in the Gulf of Iran.,25.4728,55.4153,floodingAndSinkingType,sinking,55.4153 25.4728
FloodingAndSinking,20200119,LIAN FENG 18 (IMO 8410873),,,,Water ballasting valve fault led to ship sinking with crew rescue.,23.3814,117.7642,floodingAndSinkingType,sinking,117.7642 23.3814
OtherIncident,20200119,NORD (IMO 9254513),,,,A fatal man overboard incident during onboard inspection.,40.9,28.9167,otherIncidentType,safety hindrance and near misses,28.9167 40.9000
NavigationalIssues,20200115,SABRINA (IMO 9414735),,,,Able Seafarer fell into cargo hold while vessel was drifting.,37.6222,4.9139,navigationalIssuesType,drifting,4.9139 37.6222
CollisionAndContact,20200112,"LEILA JO (IMO 9214460), ROSE HARMONY (IMO 9778985)",,,,Collision between fishing vessel Leila Jo and bulk carrier Rose Harmony off Lyttelton.,-43.5731,172.8778,collisionAndContactType,collision,172.8778 -43.5731
CollisionAndContact,20200110,"DURSUN ALI COSKUN (IMO 8687294), GLARD-2 (IMO 9687980)",,,,Ship collided with MT 'Glard-2' and subsequently sank in the Black Sea.,41.3167,29.05,collisionAndContactType,collision,29.0500 41.3167
StrandingAndGrounding,20200107,FOREVER LUCKY (IMO 8529179),,,,"Ship broke tow, drifted, and stranded on a reef in the Sulu Sea.",9.7581,121.3706,strandingAndGroundingType,stranding,121.3706 9.7581
HullAndEngineAccessoryDamage,20200104,STONE I (IMO 9380582),0.0,,0.0,Mooring configuration failure led to spillage of vacuum gasoil during loading at Ensted oil terminal.,55.0306,9.4525,hullAndEngineAccessoryDamageType,outfit damage,9.4525 55.0306
OtherIncident,20200102,"FALCON (IMO 9238856), OPL 66 (-)",,,,Engineer fell overboard during cargo lifting operation due to adverse weather conditions.,1.7461,104.4689,otherIncidentType,safety hindrance and near misses,104.4689 1.7461
OtherIncident,20200102,STARA PLANINA (IMO 9381873),2.0,,0.0,Crew members fell overboard while securing mooring ropes in adverse weather conditions.,66.0942,5.4417,otherIncidentType,safety hindrance and near misses,5.4417 66.0942
FireAndExplosion,20211231,AUSEKLIS (IMO 8315956),0.0,,0.0,"Fire broke out on fishing trawler AUSEKLIS in the Barents Sea, causing engine room damage and loss of propulsion.",74.0942,3.0,fireAndExplosionType,fire,3.0000 74.0942
FireAndExplosion,20211230,EL LEÓN VI (-),,,,"Fire broke out on passenger boat EL LEÓN VI, leading to material damage and evacuation of passengers.",-34.3486,-58.5236,fireAndExplosionType,fire,-58.5236 -34.3486
CollisionAndContact,20211226,ASIATIC SUN (IMO 9402768),,,,Asiatic Sun collided with pier no.8A at Taichung Port while berthing.,24.3056,120.6025,collisionAndContactType,collision,120.6025 24.3056
CollisionAndContact,20211223,"TROPIC BREEZE (IMO 8906315), UTOPIA IV (IMO 9851050)",,,,Collision between Tropic breeze tanker and Utopia 4 super yacht causing the tanker to sink with no loss of life.,25.4511,-77.6167,collisionAndContactType,collision,-77.6167 25.4511
OtherIncident,20211217,HEBEI UNIVERSE (IMO 9420590),,,,Fatal accident involving elevator on board a bulk carrier.,35.7333,121.0306,otherIncidentType,safety hindrance and near misses,121.0306 35.7333
StrandingAndGrounding,20211216,LITE FERRY 10 (IMO 8618695),,,,"Vessel stranded, capsized, and partially sank due to dragging anchor in heavy weather.",9.8667,123.8333,strandingAndGroundingType,grounding,123.8333 9.8667
FireAndExplosion,20211214,BELLONA (IMO 6514376),1.0,,0.0,"Fire broke out in a ballast tank during repair works, resulting in a fatality.",43.2,27.7833,fireAndExplosionType,fire,27.7833 43.2000
FireAndExplosion,20211213,Curacao Trader (IMO 9340908),0.0,,0.0,"Fire broke out in engine-room, significant damages to vessel, crew evacuated and fire extinguished.",17.48,-63.0092,fireAndExplosionType,fire,-63.0092 17.4800
StrandingAndGrounding,20211213,RYON HWA 3 (IMO 8312227),,,,"General cargo ship Ryonhwa 3 stranded on breakwater due to Typhoon No.14, resulting in constructive total loss.",30.2753,122.2928,strandingAndGroundingType,grounding,122.2928 30.2753
CollisionAndContact,20211213,"KARIN HOJ (IMO 8685844), SCOT CARRIER (IMO 9841782)",2.0,,0.0,"Danish cargo ship Karin Hoej collided with UK vessel Scot Carrier in Baltic Sea, causing capsizing.",55.2278,14.2525,collisionAndContactType,collision,14.2525 55.2278
FloodingAndSinking,20211211,DON TOMASSO (-),,,,"Fishing vessel capsized and sank during fishing maneuver, resulting in one fatality and rescue of six crew members.",-43.5,-64.9167,floodingAndSinkingType,capsizing,-64.9167 -43.5000
FireAndExplosion,20211209,SUMATRA (IMO 5343718),,,,Incendio en el buque Sumatra y otro buque pesquero amarrado en el puerto.,-40.7306,-64.9333,fireAndExplosionType,fire,-64.9333 -40.7306
FloodingAndSinking,20211208,SEA QUEEN (IMO 7915591),,,,Mechanical failure led to sinking in the Mediterranean Sea.,31.45,30.2833,floodingAndSinkingType,sinking,30.2833 31.4500
FireAndExplosion,20211204,ALMIRANTE STORNI (IMO 9497452),0.0,,0.0,"Fire broke out on the vessel while taking bunkers, crew managed to control it until external help arrived.",57.5694,11.5889,fireAndExplosionType,fire,11.5889 57.5694
CollisionAndContact,20211202,TAMIMI 6 (IMO 9910442),,,,Ship collided with a sea buoy due to high wind speed and assistant fatigue.,28.0167,44.1667,collisionAndContactType,contact,44.1667 28.0167
FloodingAndSinking,20211202,SHREE KRISHNA-VIII (IMO 8652990),,,,"Vessel sank in Arabian Sea, crew rescued with casualties.",15.4,73.5667,floodingAndSinkingType,sinking,73.5667 15.4000
FloodingAndSinking,20211201,HOUEI CRYSTAL (IMO 9519559),,,,"Cargo ship sank in heavy weather after taking water in cargo hold no. 2, crew rescued by coast guard.",38.9333,131.15,floodingAndSinkingType,sinking,131.1500 38.9333
CollisionAndContact,20211201,MAMMAD AMIN RESULZADEH (IMO 9175157),,,,"MV ""GARAKAC"" collided with MV ""MAMMAD AMIN RESULZADEH"" at anchor in KERCH STRAIT.",45.4736,36.6692,collisionAndContactType,collision,36.6692 45.4736
CollisionAndContact,20211126,"ATLANTIC GRACE (IMO 9337511), AVIATOR (IMO 9363754)",,,,Collision between bulk carrier AVIATOR and tanker ATLANTIC GRACE in Gulf of Kutch.,22.6083,69.2442,collisionAndContactType,collision,69.2442 22.6083
FireAndExplosion,20211122,Chemical Master (IMO 9558957),2.0,,0.0,Engine-room fire incident resulting in casualties and vessel towed for repairs.,38.1697,-9.7569,fireAndExplosionType,fire,-9.7569 38.1697
FireAndExplosion,20211122,ALTHEA (IMO 9396309),,,,Accommodation space fire resulting in crewmember fatality,-11.5167,11.3,fireAndExplosionType,fire,11.3000 -11.5167
HullAndEngineAccessoryDamage,20211121,COTE D'OPALE (IMO 9858321),0.0,,1.0,Deckhand's arm cut off by a fender during maneuver.,50.9678,1.8536,hullAndEngineAccessoryDamageType,other facility damage,1.8536 50.9678
FloodingAndSinking,20211115,"barge MP-2812 (IMO no), PROTEY (IMO 9812298)",,,,Non-self-propelled barge sank during towing in stormy weather.,59.8667,154.8,floodingAndSinkingType,sinking,154.8000 59.8667
NavigationalIssues,20211111, 7 DE AGOSTO (-),,,,Activation of EPIRB due to loss of direction,-41.3608,-64.9208,navigationalIssuesType,loss of direction,-64.9208 -41.3608
OtherIncident,20211109,JAWOR (IMO 9452608),,,,Fatality during mooring line repair and load testing.,29.1639,-58.4581,otherIncidentType,safety hindrance and near misses,-58.4581 29.1639
OtherIncident,20211104,Aqua (IMO 9288435),0.0,,1.0,Bosun fell in forepeak tank leading to career-ending disabilities.,41.4167,-46.5581,otherIncidentType,safety hindrance and near misses,-46.5581 41.4167
HullAndEngineAccessoryDamage,20211029,CELEBRITY MILLENNIUM (IMO 9189419),0.0,,0.0,Forward fall wire broke during lifeboat lowering operation.,22.8931,-109.8911,hullAndEngineAccessoryDamageType,other facility damage,-109.8911 22.8931
FireAndExplosion,20211028,PGC PATREAS (IMO 9796169),0.0,,1.0,"Hot waste oil sprayed out, causing burn injuries and igniting a fire.",9.6925,90.8806,fireAndExplosionType,fire,90.8806 9.6925
FireAndExplosion,20211027,SEGREDOS DO MAR (-),0.0,,0.0,"Fire broke out in the engine room, leading to vessel sinking.",38.4211,-9.0194,fireAndExplosionType,fire,-9.0194 38.4211
FireAndExplosion,20211027,SINAR AMBON (IMO 9420382),,,,Ship caught fire after an explosion in the engine room.,-3.4311,114.5014,fireAndExplosionType,fire,114.5014 -3.4311
CollisionAndContact,20211024,"BC VANESSA (IMO 9426855), BENITAMOU (IMO 9439046)",,,,BENITAMOU and BC VANESSA collided at 12 nautical miles to Northern Entrance of Çanakkale Strait/Turkey.,40.5081,26.9417,collisionAndContactType,collision,26.9417 40.5081
HullAndEngineAccessoryDamage,20211023,STAR PEACE (IMO 9568718),,,,Loose lashings on provision crane led to crane loss overboard in heavy weather.,-34.8583,15.9553,hullAndEngineAccessoryDamageType,outfit damage,15.9553 -34.8583
